,player,timestamp,object_attacked,reason
0,103,2306.39,Giant Rat,Quest Related
1,103,2308.39,Giant Rat,Quest Related
2,103,2312.59,Giant Rat,Quest Related
3,103,2313.80,Giant Rat,Quest Related
4,103,2315.20,Giant Rat,Quest Related
5,103,2316.40,Giant Rat,Quest Related
6,103,2316.99,Giant Rat,Quest Related
7,103,2306.39,Giant Rat,Quest Related
8,103,2308.39,Giant Rat,Quest Related
9,103,2312.59,Giant Rat,Quest Related
10,103,2313.80,Giant Rat,Quest Related
11,103,2315.20,Giant Rat,Quest Related
12,103,2316.40,Giant Rat,Quest Related
13,103,2316.99,Giant Rat,Quest Related
14,105,835.27,Giant Rat,Quest Related
15,105,843.69,Giant Rat,Quest Related
16,105,845.29,Giant Rat,Quest Related
17,106,122.22,Mr. Walker,Friendly NPC
18,106,124.02,Mr. Walker,Friendly NPC
19,106,127.02,Mr. Walker,Friendly NPC
20,106,630.51,Goat,UnMotivated
21,106,630.91,Goat,UnMotivated
22,106,631.32,Goat,UnMotivated
23,106,631.51,Goat,UnMotivated
24,106,632.31,Goat,UnMotivated
25,106,634.50,Goat,SelfDefense
26,106,634.91,Goat,SelfDefense
27,106,636.91,Goat,SelfDefense
28,106,637.31,Goat,SelfDefense
29,106,637.70,Goat,SelfDefense
30,106,637.91,Goat,SelfDefense
31,106,914.78,Gunny,Quest Related
32,106,915.58,Gunny,Quest Related
33,106,916.20,Gunny,Quest Related
34,106,917.02,Gunny,Quest Related
35,106,917.58,Gunny,Quest Related
36,106,918.78,Gunny,Quest Related
37,106,919.58,Gunny,Quest Related
38,106,920.38,Gunny,Quest Related
39,106,922.38,Gunny,Quest Related
40,106,923.78,Gunny,Quest Related
41,106,925.78,Gunny,Quest Related
42,106,926.38,Gunny,Quest Related
43,106,926.99,Gunny,Quest Related
44,106,927.58,Gunny,Quest Related
45,106,1145.00,Bobby D,Quest Related
46,106,1145.37,Bobby D,Quest Related
47,106,1145.80,Bobby D,Quest Related
48,106,1147.37,Bobby D,Quest Related
49,106,1147.58,Bobby D,Quest Related
50,106,1148.00,Bobby D,Quest Related
51,106,1149.20,Bobby D,Quest Related
52,106,1149.80,Bobby D,Quest Related
53,106,1150.00,Bobby D,Quest Related
54,106,1150.58,Bobby D,Quest Related
55,106,1150.80,Bobby D,Quest Related
56,106,1151.20,Bobby D,Quest Related
57,106,1151.61,Bobby D,Quest Related
58,106,1152.00,Bobby D,Quest Related
59,106,1152.37,Bobby D,Quest Related
60,106,1152.58,Bobby D,Quest Related
61,106,1153.00,Bobby D,Quest Related
62,106,1153.37,Bobby D,Quest Related
63,106,1153.80,Bobby D,Quest Related
64,106,1154.20,Bobby D,Quest Related
65,106,1154.58,Bobby D,Quest Related
66,106,1155.00,Bobby D,Quest Related
67,106,1155.20,Bobby D,Quest Related
68,106,1225.78,Merlin,Quest Related
69,106,1226.35,Merlin,Quest Related
70,106,1226.98,Merlin,Quest Related
71,106,1242.98,Merlin,Quest Related
72,106,1304.77,Sara,Quest Related
73,106,1306.36,Dough,Quest Related
74,106,896.17,Slater,Quest Related
75,106,897.56,Slater,Quest Related
76,106,1146.59,Merlin,Quest Related
77,106,1146.98,Merlin,Quest Related
78,106,1150.59,Merlin,Quest Related
79,106,1154.78,Merlin,Quest Related
80,106,1155.18,Merlin,Quest Related
81,106,1156.56,Merlin,Quest Related
82,106,1165.18,Merlin,Quest Related
83,106,1165.56,Merlin,Quest Related
84,106,1212.74,Bobby D,Quest Related
85,106,1207.38,Munz,Quest Related
86,106,1207.77,Munz,Quest Related
87,106,1207.97,Munz,Quest Related
88,106,1208.39,Munz,Quest Related
89,106,1208.77,Munz,Quest Related
90,106,1209.18,Munz,Quest Related
91,106,1209.57,Munz,Quest Related
92,106,1209.97,Munz,Quest Related
93,106,1263.18,Sara,Quest Related
94,106,1263.99,Sara,Quest Related
95,106,1264.58,Sara,Quest Related
96,106,1265.38,Sara,Quest Related
97,106,1265.99,Sara,Quest Related
98,106,1266.79,Sara,Quest Related
99,106,1351.42,Bean,Quest Related
100,106,1351.63,Bean,Quest Related
101,106,1352.22,Bean,Quest Related
102,106,1352.42,Bean,Quest Related
103,106,1353.63,Bean,Quest Related
104,106,1221.78,Ray,Quest Related
105,106,1222.18,Ray,Quest Related
106,106,1222.57,Slater,Quest Related
107,106,1222.98,Dough,Quest Related
108,106,1223.39,Bean,Quest Related
109,106,1223.98,Dough,Quest Related
110,106,1224.40,Dough,Quest Related
111,106,1224.79,Ray,Quest Related
112,106,1225.59,Ray,Quest Related
113,106,1226.00,Bean,Quest Related
114,106,1226.37,Dough,Quest Related
115,106,1227.18,Dough,Quest Related
116,106,1337.19,Bobby D,Quest Related
117,106,1337.19,Bobby D,Quest Related
118,106,1337.19,Bobby D,Quest Related
119,106,1337.19,Bobby D,Quest Related
120,106,1337.19,Bobby D,Quest Related
